Pithiviers;LFFP;N48°09'26";E002°11'30"
Plaisance En Big;;N43°36'00";E000°03'00"
Ploermel Gld;LFRP;N48°00'10";W002°22'42"
Poitiers Gld;LFBI;N46°35'15";E000°18'24"
Poix Croixrault;;N49°46'49";E002°00'16"
Poix Le Vidame;;N49°47'01";E001°59'08"
Pommevic Ul;;N44°05'05";E000°55'05"
Pompadour Prv;;N45°24'29";E001°25'15"
Pons Avy Gld;LFCP;N45°34'12";W000°30'57"
Pont St Esprit;LFND;N44°16'10";E004°39'10"
Pont Stvince Gld;LFSV;N48°36'05";E006°03'26"
Pont Sur Yon!gld;LFGO;N48°17'32";E003°14'42"
Pont2stvince Gld;;N48°36'00";E006°04'49"
Pontarlier;LFSP;N46°54'15";E006°19'37"
Pontivy;LFED;N48°03'27";W002°55'24"
Pontlevoy 15m;;N47°23'09";E001°13'09"
Pontoise;LFPT;N49°05'48";E002°02'27"
Pontonx Aero;;N43°46'09";W000°55'12"
Pouancay Ul;;N47°05'49";E000°04'31"
Pouilly Maconge;LFEP;N47°13'17";E004°33'38"
Pressignac Rebey;;N44°54'00";E000°44'33"
Propriano Tavari;LFKO;N41°39'42";E008°53'41"
Puget Sur Duranc;;N43°44'49";E005°03'41"
Puimoisson Gld;LFTP;N43°52'13";E006°09'51"
Puivert Gld;LFNW;N42°54'41";E002°03'20"
Quiberon;LFEQ;N47°28'55";W003°06'03"
Quimper Plugffan;LFRQ;N47°58'30";W004°10'04"
Rabastens De Big;;N43°22'30";E000°09'36"
Redon Bains;LFER;N47°41'58";W002°02'15"
