Klietz Scharlippe;EDCL;N52°42'54'';E012°04'48''
Klippeneck;;N48°06'27'';E008°45'46''
Klix;EDCI;N51°16'25'';E014°30'23''
Koblenz Winningen;EDRK;N50°19'28'';E007°31'39''
Kochel Am See;;N47°40'22'';E011°21'12''
Köln Bonn;EDDK;N50°51'58'';E007°08'34''
Königsdorf;;N47°49'49'';E011°27'44''
Konstanz;EDTZ;N47°40'55'';E009°08'15''
Konz Könen;;N49°40'36'';E006°32'35''
Korbach;EDGK;N51°15'14'';E008°52'34''
Köthen;EDCK;N51°43'21'';E011°56'50''
Krefeld Egelsberg;EDLK;N51°23'10'';E006°35'06''
Kreuzbruch;;N52°49'16'';E013°25'35''
Kronach Kreuzberg;;N50°14'37'';E011°21'34''
Kührstedt Bederk;EDXZ;N53°34'04'';E008°47'26''
Kulmbach;EDQK;N50°08'06'';E011°27'31''
Kusel Langenbach;;N49°28'41'';E007°18'34''
Kyritz;EDBK;N52°55'10'';E012°25'34''
Laage Rostock;ETNL;N53°55'01'';E012°16'43''
Laarbruch;ETUL;N51°36'07'';E006°08'34''
Lachen Speyerdorf;EDRL;N49°19'51'';E008°12'19''
Lager Hammelburg;EDFJ;N50°05'55'';E009°53'01''
Lahr;EDTL;N48°22'09'';E007°49'40''
Laichingen;EDPJ;N48°29'47'';E009°38'21''
Landau Ebenberg;;N49°10'35'';E008°08'05''
Landsberg;ETSA;N48°04'14'';E010°54'20''
Landshut Ellrm;EDML;N48°30'46'';E012°02'06''
Langenberg Hatten;;N50°47'26'';E009°33'46''
Langenfeld;;N51°07'07'';E006°56'39''
Langenfeld Wiesch;;N51°08'28'';E006°59'07''
Langenlonsheim;EDEL;N49°54'30'';E007°54'27''
Langenpreising;;N48°26'19'';E011°56'49''
Langenselbold;;N50°10'30'';E009°03'36''
Langeoog;EDWL;N53°44'34'';E007°29'55''
Langhennersdorf;EDOH;N50°56'50'';E013°15'42''
Laucha Dorndorf;EDBL;N51°14'45'';E011°41'35''
Lauenbrueck;EDHU;N53°12'26'';E009°34'26''
